"","orden","id","dominant_topic","topic_perc_contrib","keywords","text","topic","organizacion","reg_id","cod_com_ine","rango_edades_id","cantidad_participantes","inst"
"540",556,539,0,0.193499997258186,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['necesidad', 'barrio', 'casa', 'contar', 'espacio', 'jugar', 'correr', 'hacer', 'deport']","Tópic_0","seremi desarrollo  social región de aysen",11,11101,2,16,"No detectado"
"541",557,540,1,0.203500002622604,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['considerar', 'recurso', 'mejorar', 'calle', 'parque', 'plaza', 'apoyar', 'proceso', 'reforestacion']","Tópic_1","oficina de protección de infancia",5,5802,5,9,"OPD"
"542",558,541,1,0.18970000743866,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['presidente', 'cargo', 'escuchen', 'gente', 'querer', 'justicia', 'dejar', 'aguantar', 'bomba', 'lacrimogena', 'culpa', 'presidente']","Tópic_1","opd peñalolén",13,13122,2,6,"OPD"
"543",559,542,6,0.22689999639988,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['feliz']","Tópic_6","unidad chile crece contigo municipalidad tortel",11,11303,1,6,"Programas NNA"
"544",560,543,4,0.234599992632866,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['capacitación', 'reciclaje']","Tópic_4","cncpt las cabras",6,6107,2,15,"Centro de cuidado de Padres Temporeros"
"545",561,544,4,0.33500000834465,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['proteger', 'agua', 'malgastar']","Tópic_4","cncpt las cabras",6,6107,3,11,"Centro de cuidado de Padres Temporeros"
"546",562,545,0,0.301699995994568,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['realizar', 'campana', 'reciclaje']","Tópic_0","chile crece contigo",2,2102,2,20,"Programas NNA"
"547",563,546,4,0.231700003147125,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['naturaleza']","Tópic_4","opd padre hurtado",13,13604,1,4,"OPD"
"548",564,547,7,0.341100007295609,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['mejorar', 'acceso', 'calidad', 'educacion', 'igualitario']","Tópic_7","oficina de protección de derechos de infancia y adolescencia",8,8306,3,5,"OPD"
"549",565,548,4,0.231700003147125,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['naturaleza']","Tópic_4","opd padre hurtado",13,13604,2,6,"OPD"
"550",566,549,3,0.28659999370575,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['botar', 'basura', 'calle']","Tópic_3","idayne",13,13113,3,6,"No detectado"
"551",567,550,8,0.250900000333786,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['mayor', 'comunicacion', 'participacion', 'actividad', 'didactica', 'recreativa']","Tópic_8","fundación hogares verbo divino",8,8102,4,11,"Fundaciones"
"552",568,551,8,0.343199998140335,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['existir', 'mas', 'cancha', 'realizar', 'deporte']","Tópic_8","chile crece contigo",10,10107,5,16,"Programas NNA"
"553",569,552,1,0.204500004649162,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['gaste', 'correctamente', 'vez', 'optimizar', 'recurso', 'agua']","Tópic_1","oficina de protección de derechos",6,6204,2,12,"OPD"
"554",570,553,4,0.203799992799759,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['basicamente', 'ciudad', 'amigabl', 'cuidado', 'naturaleza', 'agua', 'animale']","Tópic_4","sereme de desarrollo social y familia aysen",11,11101,3,9,"No detectado"
"555",571,554,8,0.276100009679794,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['mayor', 'participacion', 'nino', 'frente']","Tópic_8","opd tome seremi del trabajo bio bio",8,8111,4,16,"OPD"
"556",572,555,3,0.323399990797043,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['amor', 'paz']","Tópic_3","chile crece contigo",8,8301,2,5,"Programas NNA"
"557",573,556,1,0.409900009632111,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['subir', 'pensión', 'abuelito', 'anos']","Tópic_1","hepi crianza",13,13107,1,8,"No detectado"
"558",574,557,7,0.247299998998642,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['educacion']","Tópic_7","opd",13,13604,3,6,"OPD"
"559",575,558,7,0.236399993300438,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['mejorar', 'educacion', 'cla', 'mas', 'corto', 'sueldo', 'profesor', 'diputado', 'mejorar', 'comida', 'escuela', 'calidad', 'colegio', 'publico', 'privado']","Tópic_7","niñez biobio y cncpt tubul arauco",8,8202,3,9,"Centro de cuidado de Padres Temporeros"
"560",576,559,4,0.262899994850159,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['educar', 'correcto', 'uso', 'agua']","Tópic_4","opd los muermos",10,10106,3,28,"OPD"
"561",577,560,4,0.234599992632866,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['mejorar', 'practica']","Tópic_4","red comunal chcc",14,14104,2,13,"No detectado"
"562",578,561,4,0.218299999833107,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['nino', 'gustar', 'jugar', 'pasear', 'disfrutar', 'naturaleza']","Tópic_4","chile crece contigo",8,8301,2,10,"Programas NNA"
"563",579,562,0,0.340700000524521,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['sanción', 'mas', 'duro', 'persona', 'racista', 'homofobica']","Tópic_0","opd los muermos",10,10106,4,12,"OPD"
"564",580,563,9,0.311599999666214,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['incorporar', 'clase']","Tópic_9","opd nacimiento negrete  y subsecretaría de previsión social",8,8306,4,11,"OPD"
"565",581,564,8,0.218400001525879,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['mayor', 'justicia']","Tópic_8","opd florida",8,8104,5,23,"OPD"
"566",583,565,4,0.201900005340576,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['menos_horas', 'trabajo']","Tópic_4","oficina de protección de derechos de infancia y adolescencia",8,8306,1,5,"OPD"
"567",584,566,4,0.259299993515015,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['mejorar', 'cancha', 'jugar', 'futbol', 'querer', 'tener', 'piscina', 'villa']","Tópic_4","opd",13,13604,3,7,"OPD"
"568",585,567,9,0.18299999833107,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['construccion', 'cancha_futbol']","Tópic_9","opd padre hurtado",13,13604,1,2,"OPD"
"569",586,568,1,0.174500003457069,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","[]","Tópic_1","sbc rd",10,10101,4,3,"No detectado"
"570",587,569,9,0.18299999833107,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['construccion', 'cancha_futbol']","Tópic_9","opd padre hurtado",13,13604,2,4,"OPD"
"571",588,570,9,0.393599987030029,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['necesidad', 'mayor', 'inversion', 'programa', 'socio', 'recreativo', 'acorde', 'edad']","Tópic_9","rpm faro de luz y esperanza",8,8102,4,6,"No detectado"
"572",589,571,4,0.202000007033348,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['contaminar', 'reciclar']","Tópic_4","opd mataquito",7,7302,3,34,"OPD"
"573",590,572,4,0.231700003147125,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['trabajar']","Tópic_4","chile crece contigo san pedro de la paz",8,8108,5,50,"Programas NNA"
"574",591,573,1,0.363099992275238,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['plaza', 'italio', 'volver', 'tener', 'pasto', 'lago', 'pez', 'rededor', 'subir', 'caballo', 'danen']","Tópic_1","oficina local de la niñez",13,13110,3,5,"Oficina Local de la Niñez"
"575",592,574,1,0.278899997472763,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['propuesta', 'decir', 'relacion', 'aprender', 'mas', 'cuidado_medio']","Tópic_1","junta de vecinos la pasada",10,10108,2,14,"Juntas de Vecinos y Grupos de vecinos"
"576",593,575,4,0.303200006484985,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['gustaria', 'papa', 'trabajar', 'menos_horas', 'sentir', 'solo']","Tópic_4","chcc nacimiento",8,8306,1,5,"No detectado"
"577",594,576,6,0.326299995183945,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['respetar', 'diversidad']","Tópic_6","grupo terapéutico cesfam huertos familiares",13,13303,5,7,"No detectado"
"578",595,577,4,0.257099986076355,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['tener', 'mas', 'lugar', 'areas_verd', 'presentar', 'necesidad', 'lugar', 'naturaleza', 'necesidad', 'gran', 'importancia', 'nino']","Tópic_4","residencia familiar bilbao",13,13123,2,7,"Programas NNA"
"579",596,578,8,0.220400005578995,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['existir', 'mas_areas_verd', 'cuidado_medio', 'ambient']","Tópic_8","residencia familiar bilbao",13,13123,3,5,"Programas NNA"
"580",597,579,7,0.215499997138977,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['ciudad', 'flor']","Tópic_7","subsecretaria niñez biobio y junji curanilahue",8,8205,1,5,"Secretaría de la Niñéz"
"581",598,580,7,0.306499987840653,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['gente', 'eche', 'basura', 'bolsa']","Tópic_7","subsecretaría de ninez biobío junji",8,8101,1,11,"Secretaría de la Niñéz"
"582",599,581,8,0.229900002479553,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['construccion', 'parque', 'cierto', 'numero', 'cuadra', 'areas_verd', 'arboles_flor', 'juego']","Tópic_8","niñez biobio y junji los angeles 1",8,8301,1,5,"No detectado"
"583",600,582,8,0.314099997282028,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['existir', 'mas', 'parque', 'juego', 'flor', 'arbol']","Tópic_8","niñez biobio y junji los angeles 2",8,8301,1,6,"No detectado"
"584",602,583,6,0.299400001764297,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['dar_conocer', 'necesidad', 'autoridad', 'represent']","Tópic_6","centro semicerrado concepción",8,8101,4,4,"Programas NNA"
"585",603,584,6,0.299400001764297,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['dar_conocer', 'necesidad', 'autoridad', 'represent']","Tópic_6","centro semicerrado concepción",8,8101,4,4,"Programas NNA"
"586",604,585,6,0.299400001764297,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['dar_conocer', 'necesidad', 'autoridad', 'represent']","Tópic_6","centro semicerrado concepción",8,8101,4,4,"Programas NNA"
"587",606,586,3,0.19480000436306,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['botar_basura', 'basur']","Tópic_3","subsecretaria ninez bio  bio junji",8,8103,1,11,"Secretaría de la Niñéz"
"588",607,587,2,0.198599994182587,"sueldo, nino, calle, sename, justicia, privado, equidad, estudiar, diputado, botar_basura","['invertir', 'mayor', 'cantidad', 'recurso', 'centro', 'sename']","Tópic_2","teresa de jesús",7,7404,5,5,"No detectado"
"589",608,588,7,0.287000000476837,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['educacion', 'gratuidad', 'psu', 'evaluacion', 'docente', 'horario', 'mas', 'corto', 'estudio', 'taller', 'escuela', 'mejorar', 'sueldo', 'profesor']","Tópic_7","niñez biobio chcc y cncpt mulchen",8,8305,3,15,"Centro de cuidado de Padres Temporeros"
"590",609,589,1,0.228699997067452,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['maquina', 'ejercicio', 'plaza']","Tópic_1","subsecretaria ninez bio  bio junji",8,8112,1,8,"Secretaría de la Niñéz"
"591",610,590,1,0.18639999628067,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['familia', 'trabajar', 'menos', 'poder_jugar', 'ninos_a']","Tópic_1","niñez biobio y junji los angeles 3",8,8301,1,13,"No detectado"
"592",611,591,3,0.597899973392487,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['protesta', 'pacifica', 'nn', 'comentar', 'gustar', 'protesta', 'ruido', 'golpe', 'olla']","Tópic_3","ilustre municipalidad",14,14105,2,11,"Municipalidades"
"593",612,592,8,0.250400006771088,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['padre', 'entregar', 'tiempo', 'calidad', 'hijo']","Tópic_8","jardin infantil mi pequeño mastodonte",4,4203,1,10,"Jardines Infantiles"
"594",613,593,9,0.209999993443489,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['contaminacion']","Tópic_9","centro de niños con cuidadores principales temporeros escuela alborada ventana del bajo",7,7308,2,28,"Escuelas"
"595",614,594,3,0.326200008392334,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['botar', 'calle', 'basura', 'botar', 'contenedor']","Tópic_3","subsecretaria ninez bio  bio junaeb",8,8102,2,13,"Secretaría de la Niñéz"
"596",615,595,9,0.209999993443489,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['contaminacion']","Tópic_9","centro de niños con cuidadores principales temporeros escuela huemul",7,7308,2,29,"Escuelas"
"597",616,596,7,0.247299998998642,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['flor']","Tópic_7","subsecretaria ninez bio  bio chcc",8,8104,1,7,"Secretaría de la Niñéz"
"598",617,597,3,0.194900006055832,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['vivir', 'paz']","Tópic_3","escuela de verano",4,4304,5,35,"Escuelas"
"599",618,598,1,0.205400004982948,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['existir', 'sociedad', 'mas', 'equitativo']","Tópic_1","opd parral retiro longaví",7,7404,4,10,"OPD"
"600",619,599,8,0.17399999499321,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['poblacion', 'seguir', 'demandar', 'respecto', 'necesidad']","Tópic_8","coord niñez octava mintrab y opd santa juana",8,8109,3,18,"OPD"
"601",620,600,9,0.379599988460541,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['generar', 'espacio', 'recreacion', 'vinculado', 'participacion', 'miembro', 'grupo_familiar']","Tópic_9","oficina de protección de derechos paacha pauna",3,3103,1,16,"OPD"
"602",621,601,8,0.421299993991852,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['poder_jugar', 'mascota', 'cancha']","Tópic_8","subsecretaria ninez bio  bio cncpt",8,8311,2,15,"Secretaría de la Niñéz"
"603",622,602,3,0.323399990797043,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['reciclar', 'animale']","Tópic_3","coord niñez octava y junji",8,8205,1,5,"No detectado"
"604",623,603,4,0.202000007033348,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['cuidar', 'naturaleza']","Tópic_4","subse ninez bío bío  junji",8,8301,1,10,"No detectado"
"605",624,604,1,0.296200007200241,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['anos']","Tópic_1","opd 24 horas puerto montt",10,10101,5,56,"OPD"
"606",625,605,1,0.258199989795685,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['ir', 'rio']","Tópic_1","subsecretaria ninez bio  bio junji",8,8301,1,12,"Secretaría de la Niñéz"
"607",627,606,7,0.216499999165535,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['demanda', 'gente', 'escuchada']","Tópic_7","opd",4,4204,2,4,"OPD"
"608",628,607,4,0.330399990081787,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['controlar', 'empresa']","Tópic_4","coord niñez octava y dideco san rosendo",8,8310,5,53,"No detectado"
"609",629,608,6,0.229300007224083,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['techar', 'patio']","Tópic_6","opd valle del sol oln quillón",16,16107,2,8,"OPD"
"610",630,609,4,0.202000007033348,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['cuidar', 'agua']","Tópic_4","opd",4,4204,3,7,"OPD"
"611",631,610,9,0.311500012874603,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['valoracion', 'recreacion']","Tópic_9","opd",4,4303,3,6,"OPD"
"612",632,611,0,0.222800001502037,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['considere', 'opinion', 'joven']","Tópic_0","fundación ciudad del niño ple pla mca osorno",10,10301,4,27,"Programas NNA"
"613",633,612,1,0.296200007200241,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['respeto']","Tópic_1","municipalidad chile crece contigo",12,12401,2,23,"Programas NNA"
"614",634,613,6,0.402999997138977,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['pais', 'maltrato', 'infantil']","Tópic_6","opd valle del sol oln quillón",16,16107,3,18,"OPD"
"615",635,614,1,0.340299993753433,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['existir', 'mayor', 'acceso', 'vivienda', 'mas', 'amplio']","Tópic_1","dirección de desarrollo de la niñez municipalidad de la pintana",13,13112,2,6,"Municipalidades"
"616",636,615,1,0.389299988746643,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['pintar', 'barrio', 'color']","Tópic_1","cncpt san vicente de tagua tagua",6,6117,2,15,"Centro de cuidado de Padres Temporeros"
"617",637,616,1,0.389299988746643,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['pintar', 'barrio', 'color']","Tópic_1","cncpt san vicente de tagua tagua",6,6117,2,15,"Centro de cuidado de Padres Temporeros"
"618",638,617,1,0.258199989795685,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['informar', 'mas']","Tópic_1","cncpt san vicente de tagua tagua",6,6117,3,13,"Centro de cuidado de Padres Temporeros"
"619",639,618,0,0.211899995803833,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['respetar', 'persona']","Tópic_0","municipalidad chile crece",12,12401,3,13,"Programas NNA"
"620",640,619,6,0.231800004839897,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['tener', 'pista', 'moto']","Tópic_6","niños del equipo de fútbol amanecer",9,9106,5,9,"Clubes Deportivos"
"621",641,620,1,0.456400007009506,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['cambio', 'presidente', 'gabinete']","Tópic_1","centro privativo de libertad",12,12101,4,2,"No detectado"
"622",642,621,1,0.418900012969971,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['hacer', 'actividad', 'reflexion', 'mas', 'seguido', 'aire_libre']","Tópic_1","consejo consultivo",1,1401,3,7,"Consejo Consultivo de la Niñéz"
"623",643,622,0,0.2432000041008,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['medio_ambiente']","Tópic_0","opd",10,10102,4,3,"OPD"
"624",644,623,7,0.228000000119209,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['elegir', 'representante', 'interesado', 'dar', 'respuesta', 'necesidad', 'problematica', 'mencionado']","Tópic_7","opd",4,4204,4,9,"OPD"
"625",645,624,4,0.515100002288818,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['empresa', 'contaminar', 'cuide', 'agua', 'nacionalice']","Tópic_4","asociación cristiana de jóvenes",5,5101,4,9,"No detectado"
"626",647,625,1,0.174500003457069,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","[]","Tópic_1","subse ninez cncpt alto bio bio callaqui",8,8314,3,26,"Centro de cuidado de Padres Temporeros"
"627",648,626,9,0.503000020980835,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['levantar', 'organización', 'joven', 'tema', 'importar']","Tópic_9","opd pica",1,1405,2,10,"OPD"
"628",649,627,9,0.269899994134903,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['tener', 'mayor', 'oportunidad', 'joven', 'especialmente', 'joven', 'recluido', 'ley']","Tópic_9","sename",4,4101,4,3,"No detectado"
"629",650,628,4,0.203600004315376,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['posto', 'naturaleza', 'feliz']","Tópic_4","ji altos de cantillana nivel heterogéneo melipilla",13,13501,1,5,"No detectado"
"630",651,629,3,0.307200014591217,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['tener', 'mas', 'oportunidad', 'diferente', 'area', 'educacion', 'salud', 'ingreso', 'mundo', 'laborar']","Tópic_3","sename",4,4101,4,7,"No detectado"
"631",652,630,3,0.256399989128113,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['ingreso', 'liberado', 'sistema', 'educacion']","Tópic_3","centro cultural y educacional",5,5601,4,4,"No detectado"
"632",653,631,4,0.201900005340576,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['tener', 'mas_areas_verd']","Tópic_4","fae pro concepcion 3 adra chile",8,8101,2,8,"No detectado"
"633",654,632,7,0.290100008249283,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['centrar', 'nuevo', 'generación', 'incluir', 'punto', 'vista', 'requerimiento', 'adulto', 'creer', 'bien', 'enfocado', 'respeto', 'derechos', 'infancia', 'asi', 'totalmente']","Tópic_7","opd linares",7,7401,5,14,"OPD"
"634",655,633,8,0.229200005531311,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['necesidad', 'contar', 'espacio', 'participacion', 'escuchar', 'demanda']","Tópic_8","fae pro concepcion 3 adra chile",8,8101,3,9,"No detectado"
"635",656,634,6,0.22689999639988,"tener, pais, familia, tiempo, chile, hogar, autoridad, comunidad, participar, beneficio","['tener']","Tópic_6","fae pro concepcion 3 adra chile",8,8101,4,2,"No detectado"
"636",657,635,1,0.266600012779236,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['represa']","Tópic_1","subse nines cncpt chile crece contigo alto bio bio ralco",8,8314,3,20,"Programas NNA"
"637",658,636,1,0.174500003457069,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","[]","Tópic_1","programa libertad asistida opcion cerro navia",13,13117,4,4,"Programas NNA"
"638",659,637,1,0.307700008153915,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['senor', 'politico', 'tomar', 'buena', 'decisión']","Tópic_1","cncpt escuela canada",6,6116,2,19,"Escuelas"
"639",660,638,3,0.223600000143051,"cuidar, violencia, forma, atencion, profesional, aumentar, hospital, medicamento, basura, paz","['reciclar']","Tópic_3","liceo yungay",16,16109,2,10,"Liceos"
"640",661,639,0,0.211899995803833,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['tener', 'piscina']","Tópic_0","opd san antonio",5,5601,5,10,"OPD"
"641",662,640,7,0.375999987125397,"educacion, mejor, gente, calidad, gratuito, eliminar, discriminacion, necesidad, pueblo, profesor","['derecho', 'educacion', 'mejor', 'gratuito']","Tópic_7","liceo yungay",16,16109,2,9,"Liceos"
"642",663,641,4,0.203500002622604,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['fomento', 'cultura', 'deportivo']","Tópic_4","chcc mulchén y cncpt",8,8305,2,12,"Centro de cuidado de Padres Temporeros"
"643",664,642,9,0.247899994254112,"joven, solo, gratis, generar, abuso, clase, vida, conciencia, contaminacion, contar","['gobierno', 'contar', 'opinion', 'joven']","Tópic_9","pas llequén",16,16101,4,7,"No detectado"
"644",665,643,1,0.258100003004074,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['roben', 'agua']","Tópic_1","cncpt escuela campo lindo",6,6116,2,10,"Escuelas"
"645",666,644,8,0.193499997258186,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['contaminar', 'utilizar', 'basurero']","Tópic_8","comunidad indígena samil españa",9,9119,2,5,"No detectado"
"646",667,645,4,0.262899994850159,"mejorar, agua, gustaria, digno, lugar, empresa, adultos_mayor, reciclaje, jugar, vivienda","['mejorar', 'educacion', 'salud', 'vivienda']","Tópic_4","liceo san gregorio",16,16303,2,7,"Liceos"
"647",668,646,0,0.302100002765656,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['necesario', 'consideren', 'opinión', 'nino', 'ninos_nina', 'ciudadano', 'hacer', 'cambio', 'lograr', 'objetivo', 'opinion', 'persona', 'afectado']","Tópic_0","cncpt escuela canadá",6,6116,3,13,"Escuelas"
"648",669,647,8,0.144299998879433,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['manifestar', 'pacificamente', 'dar_conocer', 'opinión', 'ninos_nina', 'tema']","Tópic_8","chile crece contigo san josé de maipo",13,13203,2,8,"Programas NNA"
"649",670,648,0,0.319099992513657,"persona, derecho, hacer, animal, querer, medio_ambiente, limpio, dar, casa, mujer","['necesario', 'consideren', 'opinión', 'ninos_nina', 'ciudadano', 'hacer', 'cambio', 'lograr', 'objetivo', 'opinion', 'persona', 'afectado']","Tópic_0","cncpt escuela campo lindo",6,6116,3,12,"Escuelas"
"650",671,649,8,0.195899993181229,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['ayudar', 'reciclar', 'existir', 'mas', 'espacio', 'hacer', 'tipo', 'actividad']","Tópic_8","chile crece contigo",13,13503,5,7,"Programas NNA"
"651",672,650,8,0.250800013542175,"mayor, existir, igualdad, espacio, publico, social, plaza, ninos_nina, oportunidad, proteccion","['mantener', 'espacio', 'colorido', 'amigabl', 'ninos_nina']","Tópic_8","opd quintero",5,5107,1,13,"OPD"
"652",673,651,1,0.409900009632111,"mas, salud, presidente, cambiar, menos, afp, disminuir, sistema, politico, recurso","['cambiar', 'gobierno', 'mas', 'competente']","Tópic_1","opd huasco",3,3304,4,10,"OPD"
